ticker,company_name,sub_industry,driver_name,driver_weight,mapping_basis,review_status
600346.SH,恒力石化,炼油化工,PTA,0.3,PTA/聚酯/PX链条，待年报产能和真实价差数据确认,candidate_needs_capacity_and_revenue_verify
600346.SH,恒力石化,炼油化工,PX,0.25,PTA/聚酯/PX链条，待年报产能和真实价差数据确认,candidate_needs_capacity_and_revenue_verify
600346.SH,恒力石化,炼油化工,涤纶长丝,0.25,PTA/聚酯/PX链条，待年报产能和真实价差数据确认,candidate_needs_capacity_and_revenue_verify
600346.SH,恒力石化,炼油化工,炼化价差,0.2,PTA/聚酯/PX链条，待年报产能和真实价差数据确认,candidate_needs_capacity_and_revenue_verify
002493.SZ,荣盛石化,炼油化工,PTA,0.35,炼化-PX-PTA-聚酯链条，待年报产能确认,candidate_needs_capacity_and_revenue_verify
002493.SZ,荣盛石化,炼油化工,PX,0.35,炼化-PX-PTA-聚酯链条，待年报产能确认,candidate_needs_capacity_and_revenue_verify
002493.SZ,荣盛石化,炼油化工,涤纶长丝,0.15,炼化-PX-PTA-聚酯链条，待年报产能确认,candidate_needs_capacity_and_revenue_verify
002493.SZ,荣盛石化,炼油化工,炼化价差,0.15,炼化-PX-PTA-聚酯链条，待年报产能确认,candidate_needs_capacity_and_revenue_verify
000301.SZ,东方盛虹,炼油化工,PTA,0.25,炼化/化纤/EVA多链条，待按产能拆分,candidate_needs_capacity_and_revenue_verify
000301.SZ,东方盛虹,炼油化工,涤纶长丝,0.3,炼化/化纤/EVA多链条，待按产能拆分,candidate_needs_capacity_and_revenue_verify
000301.SZ,东方盛虹,炼油化工,PX,0.2,炼化/化纤/EVA多链条，待按产能拆分,candidate_needs_capacity_and_revenue_verify
000301.SZ,东方盛虹,炼油化工,EVA,0.15,炼化/化纤/EVA多链条，待按产能拆分,candidate_needs_capacity_and_revenue_verify
000301.SZ,东方盛虹,炼油化工,炼化价差,0.1,炼化/化纤/EVA多链条，待按产能拆分,candidate_needs_capacity_and_revenue_verify
000703.SZ,恒逸石化,炼油化工,PTA,0.35,PTA和涤纶长丝暴露，待产能确认,candidate_needs_capacity_and_revenue_verify
000703.SZ,恒逸石化,炼油化工,涤纶长丝,0.3,PTA和涤纶长丝暴露，待产能确认,candidate_needs_capacity_and_revenue_verify
000703.SZ,恒逸石化,炼油化工,PX,0.2,PTA和涤纶长丝暴露，待产能确认,candidate_needs_capacity_and_revenue_verify
000703.SZ,恒逸石化,炼油化工,炼化价差,0.15,PTA和涤纶长丝暴露，待产能确认,candidate_needs_capacity_and_revenue_verify
603225.SH,新凤鸣,涤纶,涤纶长丝,0.55,POY/FDY/DTY和PTA，待产能确认,candidate_needs_capacity_and_revenue_verify
603225.SH,新凤鸣,涤纶,PTA,0.35,POY/FDY/DTY和PTA，待产能确认,candidate_needs_capacity_and_revenue_verify
603225.SH,新凤鸣,涤纶,PX,0.1,POY/FDY/DTY和PTA，待产能确认,candidate_needs_capacity_and_revenue_verify
600989.SH,宝丰能源,煤化工,聚乙烯,0.3,煤-甲醇-烯烃链，待产能确认,candidate_needs_capacity_and_revenue_verify
600989.SH,宝丰能源,煤化工,聚丙烯,0.3,煤-甲醇-烯烃链，待产能确认,candidate_needs_capacity_and_revenue_verify
600989.SH,宝丰能源,煤化工,甲醇,0.2,煤-甲醇-烯烃链，待产能确认,candidate_needs_capacity_and_revenue_verify
600989.SH,宝丰能源,煤化工,焦炭,0.2,煤-甲醇-烯烃链，待产能确认,candidate_needs_capacity_and_revenue_verify
000683.SZ,远兴能源,纯碱,纯碱,0.55,纯碱/尿素/甲醇，待产能确认,candidate_needs_capacity_and_revenue_verify
000683.SZ,远兴能源,纯碱,尿素,0.25,纯碱/尿素/甲醇，待产能确认,candidate_needs_capacity_and_revenue_verify
000683.SZ,远兴能源,纯碱,甲醇,0.1,纯碱/尿素/甲醇，待产能确认,candidate_needs_capacity_and_revenue_verify
000683.SZ,远兴能源,纯碱,小苏打,0.1,纯碱/尿素/甲醇，待产能确认,candidate_needs_capacity_and_revenue_verify
000822.SZ,山东海化,纯碱,纯碱,0.65,纯碱为主，待产能确认,candidate_needs_capacity_and_revenue_verify
000822.SZ,山东海化,纯碱,烧碱,0.15,纯碱为主，待产能确认,candidate_needs_capacity_and_revenue_verify
000822.SZ,山东海化,纯碱,PVC,0.1,纯碱为主，待产能确认,candidate_needs_capacity_and_revenue_verify
000822.SZ,山东海化,纯碱,溴素,0.1,纯碱为主，待产能确认,candidate_needs_capacity_and_revenue_verify
600409.SH,三友化工,纯碱/粘胶/氯碱,粘胶短纤,0.35,多产品重资产，待产能确认,candidate_needs_capacity_and_revenue_verify
600409.SH,三友化工,纯碱/粘胶/氯碱,纯碱,0.3,多产品重资产，待产能确认,candidate_needs_capacity_and_revenue_verify
600409.SH,三友化工,纯碱/粘胶/氯碱,PVC,0.2,多产品重资产，待产能确认,candidate_needs_capacity_and_revenue_verify
600409.SH,三友化工,纯碱/粘胶/氯碱,烧碱,0.15,多产品重资产，待产能确认,candidate_needs_capacity_and_revenue_verify
600618.SH,氯碱化工,氯碱,PVC,0.55,PVC/烧碱链条，待产能确认,candidate_needs_capacity_and_revenue_verify
600618.SH,氯碱化工,氯碱,烧碱,0.45,PVC/烧碱链条，待产能确认,candidate_needs_capacity_and_revenue_verify
600075.SH,新疆天业,氯碱,PVC,0.65,电石法PVC/烧碱，待产能确认,candidate_needs_capacity_and_revenue_verify
600075.SH,新疆天业,氯碱,烧碱,0.25,电石法PVC/烧碱，待产能确认,candidate_needs_capacity_and_revenue_verify
600075.SH,新疆天业,氯碱,电石,0.1,电石法PVC/烧碱，待产能确认,candidate_needs_capacity_and_revenue_verify
600230.SH,沧州大化,聚氨酯,TDI,0.55,TDI/尿素，待产能确认,candidate_needs_capacity_and_revenue_verify
600230.SH,沧州大化,聚氨酯,尿素,0.25,TDI/尿素，待产能确认,candidate_needs_capacity_and_revenue_verify
600230.SH,沧州大化,聚氨酯,烧碱,0.1,TDI/尿素，待产能确认,candidate_needs_capacity_and_revenue_verify
600230.SH,沧州大化,聚氨酯,DNT,0.1,TDI/尿素，待产能确认,candidate_needs_capacity_and_revenue_verify
601216.SH,君正集团,氯碱,PVC,0.55,PVC/片碱/硅铁，待拆分物流和热电业务,candidate_needs_capacity_and_revenue_verify
601216.SH,君正集团,氯碱,烧碱,0.25,PVC/片碱/硅铁，待拆分物流和热电业务,candidate_needs_capacity_and_revenue_verify
601216.SH,君正集团,氯碱,硅铁,0.2,PVC/片碱/硅铁，待拆分物流和热电业务,candidate_needs_capacity_and_revenue_verify
601678.SH,滨化股份,氯碱/环氧丙烷,环氧丙烷,0.45,环氧丙烷/烧碱，待产能确认,candidate_needs_capacity_and_revenue_verify
601678.SH,滨化股份,氯碱/环氧丙烷,烧碱,0.25,环氧丙烷/烧碱，待产能确认,candidate_needs_capacity_and_revenue_verify
601678.SH,滨化股份,氯碱/环氧丙烷,三氯乙烯,0.15,环氧丙烷/烧碱，待产能确认,candidate_needs_capacity_and_revenue_verify
601678.SH,滨化股份,氯碱/环氧丙烷,环氧氯丙烷,0.15,环氧丙烷/烧碱，待产能确认,candidate_needs_capacity_and_revenue_verify
600746.SH,江苏索普,醋酸/煤化工,醋酸,0.7,醋酸链条，待产能确认,candidate_needs_capacity_and_revenue_verify
600746.SH,江苏索普,醋酸/煤化工,ADC发泡剂,0.2,醋酸链条，待产能确认,candidate_needs_capacity_and_revenue_verify
600746.SH,江苏索普,醋酸/煤化工,醋酸乙烯,0.1,醋酸链条，待产能确认,candidate_needs_capacity_and_revenue_verify
603260.SH,合盛硅业,工业硅/有机硅,工业硅,0.5,工业硅-有机硅/多晶硅，待产能确认,candidate_needs_capacity_and_revenue_verify
603260.SH,合盛硅业,工业硅/有机硅,有机硅DMC,0.35,工业硅-有机硅/多晶硅，待产能确认,candidate_needs_capacity_and_revenue_verify
603260.SH,合盛硅业,工业硅/有机硅,多晶硅,0.15,工业硅-有机硅/多晶硅，待产能确认,candidate_needs_capacity_and_revenue_verify
600596.SH,新安股份,有机硅/农药,有机硅DMC,0.35,有机硅/草甘膦双链条，待产能确认,candidate_needs_capacity_and_revenue_verify
600596.SH,新安股份,有机硅/农药,草甘膦,0.35,有机硅/草甘膦双链条，待产能确认,candidate_needs_capacity_and_revenue_verify
600596.SH,新安股份,有机硅/农药,工业硅,0.15,有机硅/草甘膦双链条，待产能确认,candidate_needs_capacity_and_revenue_verify
600596.SH,新安股份,有机硅/农药,煤炭,0.15,有机硅/草甘膦双链条，待产能确认,candidate_needs_capacity_and_revenue_verify
002407.SZ,多氟多,氟化工,无水氟化铝,0.35,氟盐/六氟磷酸锂，待产能确认,candidate_needs_capacity_and_revenue_verify
002407.SZ,多氟多,氟化工,六氟磷酸锂,0.3,氟盐/六氟磷酸锂，待产能确认,candidate_needs_capacity_and_revenue_verify
002407.SZ,多氟多,氟化工,氢氟酸,0.2,氟盐/六氟磷酸锂，待产能确认,candidate_needs_capacity_and_revenue_verify
002407.SZ,多氟多,氟化工,冰晶石,0.15,氟盐/六氟磷酸锂，待产能确认,candidate_needs_capacity_and_revenue_verify
600378.SH,昊华科技,氟化工/高端材料,含氟聚合物,0.35,高端氟材料/电子特气，待拆分,candidate_needs_capacity_and_revenue_verify
600378.SH,昊华科技,氟化工/高端材料,PTFE,0.25,高端氟材料/电子特气，待拆分,candidate_needs_capacity_and_revenue_verify
600378.SH,昊华科技,氟化工/高端材料,电子特气,0.2,高端氟材料/电子特气，待拆分,candidate_needs_capacity_and_revenue_verify
600378.SH,昊华科技,氟化工/高端材料,聚氨酯材料,0.2,高端氟材料/电子特气，待拆分,candidate_needs_capacity_and_revenue_verify
002895.SZ,川恒股份,磷化工,磷酸一铵,0.4,磷矿-磷酸盐链，待产能确认,candidate_needs_capacity_and_revenue_verify
002895.SZ,川恒股份,磷化工,磷矿石,0.25,磷矿-磷酸盐链，待产能确认,candidate_needs_capacity_and_revenue_verify
002895.SZ,川恒股份,磷化工,磷酸二氢钙,0.25,磷矿-磷酸盐链，待产能确认,candidate_needs_capacity_and_revenue_verify
002895.SZ,川恒股份,磷化工,磷酸铁,0.1,磷矿-磷酸盐链，待产能确认,candidate_needs_capacity_and_revenue_verify
000902.SZ,新洋丰,复合肥,复合肥,0.45,复合肥/磷铵，待产能确认,candidate_needs_capacity_and_revenue_verify
000902.SZ,新洋丰,复合肥,磷酸一铵,0.3,复合肥/磷铵，待产能确认,candidate_needs_capacity_and_revenue_verify
000902.SZ,新洋丰,复合肥,磷肥,0.15,复合肥/磷铵，待产能确认,candidate_needs_capacity_and_revenue_verify
000902.SZ,新洋丰,复合肥,尿素,0.1,复合肥/磷铵，待产能确认,candidate_needs_capacity_and_revenue_verify
600470.SH,六国化工,磷化工,磷酸二铵,0.45,磷肥链，待产能确认,candidate_needs_capacity_and_revenue_verify
600470.SH,六国化工,磷化工,复合肥,0.3,磷肥链，待产能确认,candidate_needs_capacity_and_revenue_verify
600470.SH,六国化工,磷化工,液氨,0.1,磷肥链，待产能确认,candidate_needs_capacity_and_revenue_verify
600470.SH,六国化工,磷化工,尿素,0.1,磷肥链，待产能确认,candidate_needs_capacity_and_revenue_verify
600470.SH,六国化工,磷化工,磷酸一铵,0.05,磷肥链，待产能确认,candidate_needs_capacity_and_revenue_verify
000545.SZ,金浦钛业,钛白粉,钛白粉,0.8,钛白粉，ChainKG有历史业务噪声，必须年报确认,candidate_needs_capacity_and_revenue_verify
000545.SZ,金浦钛业,钛白粉,钛精矿,0.2,钛白粉，ChainKG有历史业务噪声，必须年报确认,candidate_needs_capacity_and_revenue_verify
002136.SZ,安纳达,钛白粉,钛白粉,0.85,钛白粉/磷酸铁，待产能确认,candidate_needs_capacity_and_revenue_verify
002136.SZ,安纳达,钛白粉,磷酸铁,0.15,钛白粉/磷酸铁，待产能确认,candidate_needs_capacity_and_revenue_verify
300891.SZ,惠云钛业,钛白粉,钛白粉,0.85,钛白粉，ChainKG产品缺失，待年报确认,candidate_needs_capacity_and_revenue_verify
300891.SZ,惠云钛业,钛白粉,钛精矿,0.15,钛白粉，ChainKG产品缺失，待年报确认,candidate_needs_capacity_and_revenue_verify
600727.SH,鲁北化工,钛白粉/磷化工,钛白粉,0.35,多产品重资产，待产能确认,candidate_needs_capacity_and_revenue_verify
600727.SH,鲁北化工,钛白粉/磷化工,磷酸一铵,0.25,多产品重资产，待产能确认,candidate_needs_capacity_and_revenue_verify
600727.SH,鲁北化工,钛白粉/磷化工,甲烷氯化物,0.25,多产品重资产，待产能确认,candidate_needs_capacity_and_revenue_verify
600727.SH,鲁北化工,钛白粉/磷化工,原盐,0.15,多产品重资产，待产能确认,candidate_needs_capacity_and_revenue_verify
