ticker,company_name,sub_industry,chain_focus,core_products,driver_candidates,selection_tier,selection_reason,chain_kg_score,chain_kg_products,source_basis,review_status
600346.SH,恒力石化,炼油化工,PX-PTA-聚酯-涤纶长丝,PTA;PX;涤纶长丝;聚酯;炼化产品,PTA;PX;涤纶长丝;炼化价差,A,产业链长、装置重、PTA/聚酯/PX价格弹性强，适合作为中游石化价格驱动标的。,4.847523,精对苯二甲酸生产销售(0.842); 聚酯纤维制造(0.732); 民用涤纶长丝(0.673); 石油化工分部(0.623); PTA(0.524); 石化分部(0.514); 炼化分部(0.389); 聚酯纤维生产和销售(0.344),ChainKnowledgeGraph company_industry/company_product + manual heavy-asset chemical screen,candidate_capacity_verify_needed
002493.SZ,荣盛石化,炼油化工,炼化-PX-PTA-聚酯,PTA;PX;芳烃;聚酯;涤纶,PTA;PX;涤纶长丝;炼化价差,A,炼化和 PTA 资产重，ChainKG 主营产品中 PTA 权重靠前。,2.237192,PTA(0.674); 芳烃系列(0.235); 涤纶牵伸丝(0.138); 涤纶加弹丝(0.101); 聚酯切片(0.044); 炼油(0.032); 薄膜系列(0.024); 涤纶预取向丝(0.013),ChainKnowledgeGraph company_industry/company_product + manual heavy-asset chemical screen,candidate_capacity_verify_needed
000301.SZ,东方盛虹,炼油化工,炼化-PX-PTA-聚酯/EVA,PTA;DTY;POY;FDY;EVA;炼化产品,PTA;PX;涤纶长丝;EVA;炼化价差,A,炼化和化纤资产链条较完整，适合观察原料到产品景气传导。,2.146982,DTY(0.575); PTA(0.199); POY(0.184); FDY(0.142); 营业房出租(0.140); 切片聚酯(0.047); BT项目管理费(0.034); 热电(0.016),ChainKnowledgeGraph company_industry/company_product + manual heavy-asset chemical screen,candidate_capacity_verify_needed
000703.SZ,恒逸石化,炼油化工,PX-PTA-聚酯-涤纶,PTA;精对苯二甲酸;涤纶丝;炼油,PTA;PX;涤纶长丝;炼化价差,A,PTA/涤纶暴露清晰，适合与桐昆、新凤鸣构成化纤链横截面。,2.987047,PTA(0.410); 精对苯二甲酸(0.410); 涤纶丝(0.294); 炼油(0.230); 涤纶预取向丝(0.124); POY丝(0.124); 涤纶牵伸丝(0.114); FDY丝(0.114),ChainKnowledgeGraph company_industry/company_product + manual heavy-asset chemical screen,candidate_capacity_verify_needed
603225.SH,新凤鸣,涤纶,PTA-聚酯-涤纶长丝,POY;FDY;DTY;PTA;聚酯切片,涤纶长丝;PTA;PX,A,产品集中在涤纶长丝和 PTA，driver 权重容易做得清晰。,2.286822,POY(0.623); PTA(0.295); FDY(0.223); DTY(0.096); 精对苯二甲酸(0.035); 复合丝(0.028); 聚酯切片(0.011); 平牵丝(0.009),ChainKnowledgeGraph company_industry/company_product + manual heavy-asset chemical screen,candidate_capacity_verify_needed
600989.SH,宝丰能源,煤化工,煤-甲醇-烯烃-聚乙烯/聚丙烯,焦化;聚乙烯;聚丙烯;甲醇,聚乙烯;聚丙烯;甲醇;焦炭,A,煤化工资产重，烯烃和煤/焦/甲醇链条价格传导直接。,1.982731,焦化(0.318); 聚乙烯(0.315); 聚丙烯(0.274); 精细化工(0.114); 烯烃副(0.084); 纯苯(0.079); 甲醇(0.076); 改质沥青(0.054),ChainKnowledgeGraph company_industry/company_product + manual heavy-asset chemical screen,candidate_capacity_verify_needed
000683.SZ,远兴能源,纯碱,天然碱/煤化工-纯碱-尿素,纯碱;小苏打;尿素;甲醇,纯碱;尿素;甲醇;小苏打,A,纯碱和尿素产能属性强，适合做产品景气度驱动。,1.681053,化肥-自产(0.387); 碱业-自产(0.374); 纯碱-自产(0.290); 尿素-自产(0.181); 小苏打-自产(0.106); 甲醇-自产(0.104); 煤炭-自产(0.094); 化学矿开采(0.001),ChainKnowledgeGraph company_industry/company_product + manual heavy-asset chemical screen,candidate_capacity_verify_needed
000822.SZ,山东海化,纯碱,原盐/卤水-纯碱-氯碱,纯碱;烧碱;PVC;溴素,纯碱;烧碱;PVC;溴素,A,纯碱暴露高，产品价格和利润弹性较直观。,1.803558,纯碱(0.681); 甲烷氯化物(0.107); 苯胺硝基苯(0.107); 聚氯乙烯(0.061); 烧碱(0.061); 溴素(0.057); 氧化锌(0.040); 两钠(0.033),ChainKnowledgeGraph company_industry/company_product + manual heavy-asset chemical screen,candidate_capacity_verify_needed
600409.SH,三友化工,纯碱/粘胶/氯碱,纯碱-粘胶-PVC-烧碱,粘胶短纤;纯碱;PVC;烧碱;有机硅,粘胶短纤;纯碱;PVC;烧碱,A,多产品重资产平台，适合检验多 driver 加权。,0.553993,粘胶短纤维(0.415); 纯碱(0.288); 聚氯乙烯树脂(0.146); PVC(0.064); 烧碱(0.056); 二甲基硅氧烷混合环体(0.039); 蒸汽(0.024); 石灰石(0.017),ChainKnowledgeGraph company_industry/company_product + manual heavy-asset chemical screen,candidate_capacity_verify_needed
600618.SH,氯碱化工,氯碱,原盐/乙烯-烧碱-PVC,PVC;烧碱,PVC;烧碱,A,氯碱产品集中，适合做单链条价格驱动。,1.637773,聚氯乙烯(0.328); 烧碱(0.310),ChainKnowledgeGraph company_industry/company_product + manual heavy-asset chemical screen,candidate_capacity_verify_needed
600075.SH,新疆天业,氯碱,电石-PVC-烧碱,PVC;烧碱;电石;水泥,PVC;烧碱;电石,A,PVC/烧碱重资产属性明显，适合与中泰化学、氯碱化工对比。,1.570112,聚氯乙烯树脂(0.491); 节水器材塑料制品(0.129); 建筑安装商品房(0.109); 包装材料(0.085); 烧碱(0.079); 番茄业(0.077); 水泥(0.073); 熟料(0.073),ChainKnowledgeGraph company_industry/company_product + manual heavy-asset chemical screen,candidate_capacity_verify_needed
600230.SH,沧州大化,聚氨酯,甲苯/硝酸-DNT-TDI,TDI;尿素;DNT;烧碱,TDI;尿素;DNT;烧碱,A,TDI 景气度敏感，和万华的聚氨酯链形成互补。,2.013382,TDT(0.949); TDI(0.520); 尿素(0.427); DNT(0.088); 离子膜烧碱(0.066); 液氯(0.018); 液氨(0.018); 盐酸(0.011),ChainKnowledgeGraph company_industry/company_product + manual heavy-asset chemical screen,candidate_capacity_verify_needed
601216.SH,君正集团,氯碱,电石-PVC-片碱/烧碱,PVC;片碱;硅铁;化工物流,PVC;烧碱;硅铁,B,PVC/片碱资产重，但物流和热电等业务需在年报中拆分确认。,1.642362,化工分部(1.043); 化工部分(1.003); 聚氯乙烯(0.642); 化学原料和化学制品(0.594); 热电分部(0.163); 硅铁(0.158); 片碱(0.139); 热电部分(0.134),ChainKnowledgeGraph company_industry/company_product + manual heavy-asset chemical screen,candidate_capacity_verify_needed
601678.SH,滨化股份,氯碱/环氧丙烷,丙烯-环氧丙烷;原盐-烧碱,环氧丙烷;烧碱;三氯乙烯;环氧氯丙烷,环氧丙烷;烧碱;三氯乙烯;环氧氯丙烷,A,环氧丙烷和烧碱价格弹性明确，是氯碱链外的补充。,1.404569,环氧丙烷(0.499); 烧碱(0.262); 三氯乙烯(0.111); 煤炭(0.063); 原材料(0.049); 环氧氯丙烷(0.048); 乳化剂破乳剂(0.047); 电汽(0.037),ChainKnowledgeGraph company_industry/company_product + manual heavy-asset chemical screen,candidate_capacity_verify_needed
600746.SH,江苏索普,醋酸/煤化工,煤/甲醇-醋酸-醋酸衍生品,醋酸;醋酸衍生品;ADC发泡剂,醋酸;ADC发泡剂;醋酸乙烯,A,醋酸链条单一且产能驱动强，适合补齐煤化工中间品。,1.377014,ADC发泡剂(0.865); 醋酸(0.377); 衍生品(0.377); 蒸汽与电(0.020); 漂粉精(0.001); 化工原料及产品制造(0.001); 焊接气瓶检验(0.001),ChainKnowledgeGraph company_industry/company_product + manual heavy-asset chemical screen,candidate_capacity_verify_needed
603260.SH,合盛硅业,工业硅/有机硅,硅石-工业硅-有机硅/多晶硅,工业硅;有机硅;生胶;环体硅氧烷;多晶硅,工业硅;有机硅DMC;多晶硅,A,硅产业链资产极重，产品价格对利润和股价弹性通常较强。,,,ChainKnowledgeGraph company_industry/company_product + manual heavy-asset chemical screen,candidate_capacity_verify_needed
600596.SH,新安股份,有机硅/农药,工业硅-有机硅;甘氨酸/黄磷-草甘膦,有机硅;草甘膦;无机硅,有机硅DMC;草甘膦;工业硅,A,有机硅和草甘膦双链条，适合检验多 driver 增量效果。,0.365162,农化(0.579); 农药(0.539); 有机硅制品(0.365); 无机硅(0.045); 煤炭(0.041); 包装(0.033); 种业(0.010); 低压成套配电柜制造(0.001),ChainKnowledgeGraph company_industry/company_product + manual heavy-asset chemical screen,candidate_capacity_verify_needed
002407.SZ,多氟多,氟化工,萤石-氢氟酸-氟盐/六氟磷酸锂,氟化铝;冰晶石;无水氢氟酸;六氟磷酸锂,无水氟化铝;六氟磷酸锂;氢氟酸;冰晶石,B,氟化工链条清晰，但新能源材料业务周期需单独拆分。,1.284581,氟化物(0.801); 无水氟化铝(0.491); 铝用氟化盐(0.489); 冰晶石(0.326); 无水氢氟酸(0.285); 核心材料(0.230); 新材料(0.162); 动力锂电池(0.062),ChainKnowledgeGraph company_industry/company_product + manual heavy-asset chemical screen,candidate_capacity_verify_needed
600378.SH,昊华科技,氟化工/高端材料,氟材料-特种气体-聚氨酯材料,含氟精细化学品;高端氟材料;特种气体;聚氨酯材料,含氟聚合物;PTFE;电子特气;聚氨酯材料,B,产品技术属性更强，重资产价格驱动需要年报进一步确认。,1.0,化工设施建设(0.674); 基础设计(0.656); 提供劳务-科研开发(0.617); 航空化工材料(0.455); 含氟精细化学品业务(0.296); 高端氟材料(0.290); 聚氨酯(0.248); 化学推进剂业务(0.248),ChainKnowledgeGraph company_industry/company_product + manual heavy-asset chemical screen,candidate_capacity_verify_needed
002895.SZ,川恒股份,磷化工,磷矿石-磷酸盐-磷酸一铵/磷酸铁,饲料级磷酸二氢钙;磷酸一铵;磷矿石;磷酸铁,磷酸一铵;磷矿石;磷酸二氢钙;磷酸铁,A,磷矿和磷酸盐产品明确，适合与兴发、云天化对照。,0.343965,饲料级磷酸二氢钙(0.693); 磷酸一铵(0.255); 磷矿石(0.089); 掺混肥(0.072); 水溶肥(0.015); 肥料级磷酸氢钙(0.002); 聚磷酸铵(0.002); 酸式重过磷酸钙(0.001),ChainKnowledgeGraph company_industry/company_product + manual heavy-asset chemical screen,candidate_capacity_verify_needed
000902.SZ,新洋丰,复合肥,磷矿/合成氨-磷铵-复合肥,复合肥;磷铵;磷肥,复合肥;磷酸一铵;磷肥;尿素,B,复合肥终端属性较强，产品价格传导可能慢于上游磷化工。,0.0,常规复合肥(0.521); 磷铵(0.241); 磷肥(0.234); 尿基复合肥(0.204); 硫酸钾复合肥(0.174); 高塔复合肥(0.166); 新型复合肥(0.116); BB肥(0.045),ChainKnowledgeGraph company_industry/company_product + manual heavy-asset chemical screen,candidate_capacity_verify_needed
600470.SH,六国化工,磷化工,磷矿石-磷酸二铵/一铵-复合肥,磷酸二铵;复合肥;液氨;尿素,磷酸二铵;复合肥;液氨;尿素;磷酸一铵,B,磷肥链条清晰，但盈利能力和业务杂项需要年报复核。,0.509,磷酸二铵(0.447); 复合肥(0.416); 液氨(0.089); 聚酰胺切片(0.045); 碳铵(0.027); 尿素(0.025); 双氧水(0.020); 甲醇(0.019),ChainKnowledgeGraph company_industry/company_product + manual heavy-asset chemical screen,candidate_capacity_verify_needed
000545.SZ,金浦钛业,钛白粉,钛精矿-钛白粉,金红石型钛白粉;锐钛型钛白粉,钛白粉;钛精矿,B,钛白粉暴露清晰，但 ChainKG 存在历史药业产品噪声，必须以最新年报确认。,1.978248,制剂成品药(0.757); 金红石型钛白粉(0.522); 锐钛型钛白粉(0.457); 化工原料药(0.243); 商业保理(0.020),ChainKnowledgeGraph company_industry/company_product + manual heavy-asset chemical screen,candidate_capacity_verify_needed
002136.SZ,安纳达,钛白粉,钛精矿-钛白粉;磷酸铁,金红石型钛白粉;磷酸铁,钛白粉;磷酸铁,B,钛白粉为主，但磷酸铁业务需单独做 driver 拆分。,1.560541,含粉料(0.850); 金红石型钛白粉(0.557); 磷酸铁(0.011); 化纤级锐钛型钛白粉(0.004); 金红石粉料(0.002),ChainKnowledgeGraph company_industry/company_product + manual heavy-asset chemical screen,candidate_capacity_verify_needed
300891.SZ,惠云钛业,钛白粉,钛精矿-钛白粉,钛白粉,钛白粉;钛精矿,B,钛白粉纯度较高，但 ChainKG 产品明细缺失，优先下载最新年报补证据。,1.0,,ChainKnowledgeGraph company_industry/company_product + manual heavy-asset chemical screen,candidate_capacity_verify_needed
600727.SH,鲁北化工,钛白粉/磷化工,磷铵-钛白粉-甲烷氯化物,钛白粉;磷铵;甲烷氯化物;原盐,钛白粉;磷酸一铵;甲烷氯化物;原盐,B,多产品重资产属性明显，但业务混合度高，适合放入候选而非第一批核心。,1.483303,化肥(0.633); 磷铵(0.507); 钛白粉(0.483); 甲烷氯化物(0.434); 氯碱(0.200); 硫酸钾复合肥(0.190); 原盐(0.149); 水泥(0.067),ChainKnowledgeGraph company_industry/company_product + manual heavy-asset chemical screen,candidate_capacity_verify_needed
