ticker,company_name,sub_industry,report_year,report_date,product_name,capacity,capacity_unit,source_type,source_url,note,driver_name,driver_weight,confidence,confidence_score,candidate_type,evidence_page,candidate_context
000422.SZ,湖北宜化,煤化工,2025,2026-04-25,PVC,90.0,万吨/年,cninfo_annual_report,http://static.cninfo.com.cn/finalpage/2026-04-25/1225183616.PDF,auto_draft_from_2025_annual_report; 90万吨/年; confidence=high; score=82.0,PVC,0.35,high,82.0,company_capacity,11.0,"化工、煤炭等产品的生产和销售，已形成完整的化工上下游产业链，主要产品产能包括尿素216万吨/年、磷铵165万吨/年、复合肥70万吨/年，烧碱94万吨/年、PVC90万吨/年、季戊四醇7万吨/年、煤炭3,000万吨/年，主要产品的产能均位于行业前列。（二）主要产品及用途公司主要从事尿素、磷铵、复合肥等化肥产品，聚氯乙烯等氯碱化工产品"
000422.SZ,湖北宜化,煤化工,2025,2026-04-25,尿素,216.0,万吨/年,cninfo_annual_report,http://static.cninfo.com.cn/finalpage/2026-04-25/1225183616.PDF,auto_draft_from_2025_annual_report; 216万吨/年; confidence=high; score=100.0,尿素,0.35,high,100.0,company_capacity,11.0,"—行业信息披露》中固体矿产资源业的披露要求（一）公司主营业务公司主营业务为化肥、化工、煤炭等产品的生产和销售，已形成完整的化工上下游产业链，主要产品产能包括尿素216万吨/年、磷铵165万吨/年、复合肥70万吨/年，烧碱94万吨/年、PVC90万吨/年、季戊四醇7万吨/年、煤炭3,000万吨/年，主要产品的产能均位于行业前列。（二）"
000422.SZ,湖北宜化,煤化工,2025,2026-04-25,烧碱,94.0,万吨/年,cninfo_annual_report,http://static.cninfo.com.cn/finalpage/2026-04-25/1225183616.PDF,auto_draft_from_2025_annual_report; 94万吨/年; confidence=high; score=82.0,烧碱,0.3,high,82.0,company_capacity,11.0,"公司主营业务为化肥、化工、煤炭等产品的生产和销售，已形成完整的化工上下游产业链，主要产品产能包括尿素216万吨/年、磷铵165万吨/年、复合肥70万吨/年，烧碱94万吨/年、PVC90万吨/年、季戊四醇7万吨/年、煤炭3,000万吨/年，主要产品的产能均位于行业前列。（二）主要产品及用途公司主要从事尿素、磷铵、复合肥等化肥产品，聚"
002092.SZ,中泰化学,氯碱,2025,2026-03-26,PVC,260.0,万吨/年,cninfo_annual_report,http://static.cninfo.com.cn/finalpage/2026-03-26/1225032750.PDF,auto_draft_from_2025_annual_report; 260万吨/年; confidence=high; score=100.0,PVC,0.6,high,100.0,company_capacity,15.0,点实验室1个。业过硬的成熟团队，为公司技术创新突破、高质量长远发展筑牢坚实人才根基。主要产品的产能情况主要产品设计产能产能利用率在建产能投资建设情况聚氯乙烯树脂260万吨/年98.00%无无离子膜烧碱186万吨/年95.00%无无粘胶纤维88万吨/年61.75%无无粘胶纱线320万锭/年86.92%无无甲醇100万吨/年89.76%
002092.SZ,中泰化学,氯碱,2025,2026-03-26,烧碱,186.0,万吨/年,cninfo_annual_report,http://static.cninfo.com.cn/finalpage/2026-03-26/1225032750.PDF,auto_draft_from_2025_annual_report; 186万吨/年; confidence=high; score=86.0,烧碱,0.4,high,86.0,company_capacity,15.0,术创新突破、高质量长远发展筑牢坚实人才根基。主要产品的产能情况主要产品设计产能产能利用率在建产能投资建设情况聚氯乙烯树脂260万吨/年98.00%无无离子膜烧碱186万吨/年95.00%无无粘胶纤维88万吨/年61.75%无无粘胶纱线320万锭/年86.92%无无甲醇100万吨/年89.76%无无甲醇于2025年6月已全面投产，产能
002145.SZ,中核钛白,钛白粉,2025,2026-04-29,钛白粉,70.0,万吨/年,cninfo_annual_report,http://static.cninfo.com.cn/finalpage/2026-04-29/1225225963.PDF,auto_draft_from_2025_annual_report; 70万吨/年; confidence=high; score=100.0,钛白粉,0.8,high,100.0,company_capacity,14.0,员工钛白粉盐处理技术国内领先钛白粉大批量生产均为本公司在职员工硫酸法钛白粉生产技术国内领先主要产品的产能情况主要产品设计产能产能利用率在建产能投资建设情况钛白粉70万吨/年71.28%--磷酸铁10万吨/年41.09%--磷矿石50万吨/年90.61%--黄磷12万吨/年30.09%--主要化工园区的产品种类情况主要化工园区产品种
002601.SZ,龙佰集团,钛白粉,2025,2026-04-28,钛白粉,151.0,万吨/年,cninfo_annual_report,http://static.cninfo.com.cn/finalpage/2026-04-28/1225206979.PDF,auto_draft_from_2025_annual_report; 151万吨/年; confidence=high; score=100.0,钛白粉,0.7,high,100.0,company_capacity,18.0,酸铁锂废料回用技术国内先进石墨负极大批量生产均为本公司在职员工石墨负极材料生产技术国内先进主要产品的产能情况主要产品设计产能产能利用率在建产能投资建设情况钛白粉151万吨/年84.53%--海绵钛8万吨/年89.11%--年产20万吨电池材料级磷酸铁项目三期(10磷酸铁10万吨/年86.23%10万吨/年万吨)厂房及土建基本完工，目
600096.SH,云天化,磷化工,2025,2026-03-24,尿素,290.0,万吨/年,cninfo_annual_report,http://static.cninfo.com.cn/finalpage/2026-03-24/1225025863.PDF,auto_draft_from_2025_annual_report; 290万吨/年; confidence=high; score=94.0,尿素,0.3,high,94.0,company_capacity,9.0,场占有率排名前列。“三环”“金富瑞”等磷肥产品为全国知名品牌，产品质量稳定，服务优质，多年来深受广大用户青睐，长期具有较好的品牌溢价能力。2.尿素公司尿素产能超290万吨/年，分别布局在云南120万吨/年，内蒙古112万吨/年，青海60万吨/年。由于尿素行业集中度不高
600309.SH,万华化学,聚氨酯,2025,2026-04-21,MDI,380.0,万吨/年,cninfo_annual_report,http://static.cninfo.com.cn/finalpage/2026-04-21/1225130793.PDF,auto_draft_from_2025_annual_report; 380万吨/年; confidence=high; score=98.0,MDI,0.6,high,98.0,company_capacity,28.0,万华化学集团股份有限公司2025年年度报告(5).产能与开工情况√适用□不适用产能利用主要厂区或项目设计产能率（%）759万吨/年（包括MDI项目380万吨/年、TDI聚氨酯项目产能85项目147万吨/年、聚醚项目232万吨/年）烟台工业园PO/AE一体化项目279万吨/年98烟台工业园聚氨酯产业链一体468万吨/年8
600309.SH,万华化学,聚氨酯,2025,2026-04-21,TDI,147.0,万吨/年,cninfo_annual_report,http://static.cninfo.com.cn/finalpage/2026-04-21/1225130793.PDF,auto_draft_from_2025_annual_report; 147万吨/年; confidence=high; score=98.0,TDI,0.2,high,98.0,company_capacity,28.0,5年年度报告(5).产能与开工情况√适用□不适用产能利用主要厂区或项目设计产能率（%）759万吨/年（包括MDI项目380万吨/年、TDI聚氨酯项目产能85项目147万吨/年、聚醚项目232万吨/年）烟台工业园PO/AE一体化项目279万吨/年98烟台工业园聚氨酯产业链一体468万吨/年87化—乙烯项目烟台工业园PC项目60万吨/年
600486.SH,扬农化工,农药,2025,2026-03-31,草甘膦,3.0,万吨/年,cninfo_annual_report,http://static.cninfo.com.cn/finalpage/2026-03-31/1225056792.PDF,auto_draft_from_2025_annual_report; 30000吨/年; confidence=high; score=99.0,草甘膦,0.4,high,99.0,company_capacity,24.0,"25年年度报告(5).产能与开工情况√适用□不适用单位：万元币种：人民币产能利用率在建产能已在建产能预主要厂区或项目设计产能在建产能（%）投资额计完工时间草甘膦30,000吨/年100功夫菊酯8,500吨/年100三唑类杀菌剂8,500吨/年100生产能力的增减情况√适用□不适用报告期内，辽宁优创一期项目多个品种已拿出合格产品，"
600486.SH,扬农化工,农药,2025,2026-03-31,菊酯,0.85,万吨/年,cninfo_annual_report,http://static.cninfo.com.cn/finalpage/2026-03-31/1225056792.PDF,auto_draft_from_2025_annual_report; 8500吨/年; confidence=medium; score=69.0,菊酯,0.3,medium,69.0,company_capacity,24.0,"情况√适用□不适用单位：万元币种：人民币产能利用率在建产能已在建产能预主要厂区或项目设计产能在建产能（%）投资额计完工时间草甘膦30,000吨/年100功夫菊酯8,500吨/年100三唑类杀菌剂8,500吨/年100生产能力的增减情况√适用□不适用报告期内，辽宁优创一期项目多个品种已拿出合格产品，"
601233.SH,桐昆股份,化纤,2025,2026-04-29,涤纶长丝,1510.0,万吨/年,cninfo_annual_report,http://static.cninfo.com.cn/finalpage/2026-04-29/1225228955.PDF,auto_draft_from_2025_annual_report; 1510万吨/年; confidence=high; score=94.0,涤纶长丝,0.5,high,94.0,company_capacity,25.0,六大系列一千多个品种，覆盖了涤纶长丝产品的全系列，在行业中有“涤纶长丝企业中的沃尔玛”之称。截至报告期末，公司聚酯聚合产能约为1460万吨/年，涤纶长丝产能约为1510万吨/年，根据中国化纤协会数据，公司在国内市场聚酯涤纶长丝（包含POY、FDY以及DTY）市场份额占比超28%，国际市场占比超18%，是国内规模最大的涤纶长丝制造企业，
603379.SH,三美股份,氟化工,2025,2026-04-28,R134a,6.5,万吨/年,cninfo_annual_report,http://static.cninfo.com.cn/finalpage/2026-04-28/1225200454.PDF,auto_draft_from_2025_annual_report; 6.5万吨; confidence=high; score=100.0,R134a,0.3,high,100.0,company_capacity,11.0,C-32/HFC-134a混合物）等，其中R410A、R407C主要用作家用及工商空调制冷剂，R404A主要用作工商低温制冷剂。公司目前拥有HFC-134a产能6.5万吨、HFC-125产能5.2万吨、HFC-32产能4万吨、HFC-143a产能1万吨，并以此为基础混配R410A、R404A、R407C、R507等混合制冷剂。H
603379.SH,三美股份,氟化工,2025,2026-04-28,R32,4.0,万吨/年,cninfo_annual_report,http://static.cninfo.com.cn/finalpage/2026-04-28/1225200454.PDF,auto_draft_from_2025_annual_report; 4万吨; confidence=high; score=100.0,R32,0.4,high,100.0,company_capacity,11.0,07C主要用作家用及工商空调制冷剂，R404A主要用作工商低温制冷剂。公司目前拥有HFC-134a产能6.5万吨、HFC-125产能5.2万吨、HFC-32产能4万吨、HFC-143a产能1万吨，并以此为基础混配R410A、R404A、R407C、R507等混合制冷剂。HFCs制冷剂是公司目前最主要的产品。②HCFCs（含氢
